"Date","State","City","Summary","time","altitude","reporter","relative_location","evasive_action","disposition","report_type"
2025-04-13,"NORTH CAROLINA","RALEIGH/DURHAM","PRELIM INFO FROM FAA OPS: RALEIGH-DURHAM, NC/UAS SIGHTING/1500E/RALEIGH ATCT ADVISED, EMBRAER E55P, GFL - RDU, REPORTED A QUADCOPTER UAS FROM THE 1 O'CLOCK POSITION WHILE SW BOUND AT 4,000 FEET 12 NE RDU. NO EVASIVE ACTION TAKEN. WAKE COUNTY SHERIFF NOTIFIED.","1500E","000 FEET","RDU","12 NE RDU","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-13,"MICHIGAN","PONTIAC","PRELIM INFO FROM FAA OPS: PONTIAC, MI/UAS SIGHTING/1510E/DETROIT APCH ADVISED, CIRRUS SF50, PTK - CHS, REPORTED A WHITE UAS FROM THE 1 O'CLOCK POSITION WHILE E BOUND AT 4,900 FEET 3 NW PTK. NO EVASIVE ACTION REPORTED. MICHIGAN STATE PD NOTIFIED.","1510E","900 FEET","CHS","3 NW PTK",NA,"PD NOTIFIED","PRELIM INFO"
2025-04-13,"WASHINGTON","SEATTLE","PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS SIGHTING/1235P/SEATTLE TRACON ADVISED, B738, ORD - SEA, REPORTED UAS FROM THE 3 O'CLOCK POSITION WHILE NW BOUND AT 4,700 FEET 18 SSE SEA. NO EVASIVE ACTION REPORTED. PIERCE COUNTY SHERIFF NOTIFIED.","1235P","700 FEET","SEA","18 SSE SEA",NA,NA,"PRELIM INFO"
2025-04-13,"NEVADA","LAS VEGAS","PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS SIGHTING/1320P/NORTH LAS VEGAS ATCT ADVISED, PILATUS PC12, REPORTED A WHITE UAS FROM THE 12 O'CLOCK POSITION WHILE E BOUND AT 3,000 FEET 6 NNW LAS. NO EVASIVE ACTION REPORTED. LAS VEGAS METRO PD NOTIFIED.","1320P","000 FEET",NA,"6 NNW LAS",NA,"PD NOTIFIED","PRELIM INFO"
2025-04-13,"VIRGINIA","HERNDON","PRELIM INFO FROM FAA OPS: HERNDON, VA/AIR CARRIER INCIDENT/1544E/, B737, DFW - IAD, REPORTED A UAS WHILE S BOUND AT 5,000 FEET 10 W ARMEL VOR (AML). NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC MA/PM","1544E","000 FEET","IAD","10 W ARMEL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-13,"ILLINOIS","CHICAGO","PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1724C/CHICAGO TRACON ADVISED, E170, HPN - ORD, REPORTED A UAS AT THE 12 O'CLOCK POSITION WHILE SSW BOUND AT 11,000 FEET 38 WNW ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.","1724C","000 FEET","ORD","38 WNW ORD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-13,"ILLINOIS","CHICAGO","PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1724C/CHICAGO TRACON ADVISED, A333, VANTAA, FINLAND (EFHK) - ORD, REPORTED A UAS AT THE 12 O'CLOCK POSITION WHILE SSW BOUND AT 11,000 FEET 38 NNE ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.","1724C","000 FEET","ORD","38 NNE ORD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-13,"NEW JERSEY","NEWARK","PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS SIGHTING/1855E/NEWARK ATCT ADVISED, B38M, EWR - VANCOUVER, CANADA (CYVR), REPORTED A UAS WHILE NE BOUND AT 2,500 FEET 2 ENE EWR. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT PROVIDED. WOC JE/AJ","1855E","500 FEET",NA,"2 ENE EWR","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-13,"DISTRICT OF COLUMBIA","WASHINGTON","PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS SIGHTING/1924E/POTOMAC TRACON ADVISED, E75S, TORONTO, CANADA (CYYZ) - DCA, REPORTED A UAS AT T HE 3 O'CLOCK POSITION WHILE S BOUND AT 3,200 FEET 6 SSE DCA. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION REPORTED. WOC MC/JE","1924E","200 FEET","DCA","6 SSE DCA","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-13,"CALIFORNIA","SAN FRANCISCO","PRELIM INFO FROM FAA OPS: SAN FRANCISCO, CA/UAS SIGHTING/LATE REPORT 4-13 1859P/NORCAL TRACON ADVISED, E75L, BOI - SFO, REPORTED A UAS WHILE SE BOUND AT 13,000 FEET 16.5 NW SFO. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION. WOC RL/RC","1859P","000 FEET","SFO","16.5 NW SFO","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-14,"NEW JERSEY","TETERBORO","PRELIM INFO FROM FAA OPS: TETERBORO, NJ/UAS SIGHTING/1128E/NEWARK ATCT ADVISED, DE HAVILLAND DH8D, HALIFAX, CANADA (CYHZ) - EWR, REPORTED UAS FROM THE 3 O'CLOCK POSITION WHILE SW BOUND AT 3,000 FEET OVER TEB. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC JG/MA","1128E","000 FEET","EWR",". NO","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-14,"FLORIDA","FORT LAUDERDALE","PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1241E/FT LAUDERDALE EXECUTIVE ATCT ADVISED, BEECH BE58, REPORTED A WHITE UAS FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 1,000 FEET 5 W FXE. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF NOTIFIED.","1241E","000 FEET",NA,"5 W FXE","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-14,"FLORIDA","FORT LAUDERDALE","PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1243E/FT LAUDERDALE EXECUTIVE ADVISED, BOMBARDIER CL30, REPORTED A WHITE UAS FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 1,000 FEET 5 W FXE. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF NOTIFIED.","1243E","000 FEET",NA,"5 W FXE","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-14,"FLORIDA","FORT LAUDERDALE","PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1307E/FT LAUDERDALE EXECUTIVE ATCT ADVISED, DIAMOND DA62, REPORTED A WHITE UAS FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 1,000 FEET 5 W FXE. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF NOTIFIED.","1307E","000 FEET",NA,"5 W FXE","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-14,"CALIFORNIA","SAN DIEGO","PRELIM INFO FROM FAA OPS: SAN DIEGO, CA/UAS SIGHTING/1100P/W-ROC ADVISED, A321, DTW - SAN, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE W BOUND AT 1,200 FEET VCNTY SAN. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC JG/DJ","1100P","200 FEET","SAN",". NO","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-14,"NEW YORK","NEW YORK","PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS INCIDENT/1435E/JF KENNEDY ATCT ADVISED, B739, MIA - JFK, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE SW BOUND AT 1,000 FEET 2.5 SE JFK. ACFT TURNED RIGHT TO AVOID UAS. NYPD NOTIFIED.","1435E","000 FEET","JFK","2.5 SE JFK",NA,NA,"PRELIM INFO"
2025-04-14,"WASHINGTON","PASCO","PRELIM INFO FROM FAA OPS: PASCO, WA/UAS SIGHTING/1334P/PASCO ATCT ADVISED, CESSNA C172, REPORTED A UAS FROM THE 11 O'CLOCK POSTION WHILE SSW BOUND AT 1,500 FEET 1 NNW PSC. NO EVASIVE ACTION TAKEN. PASCO PD NOTIFIED.","1334P","500 FEET",NA,"1 NNW PSC","NO EVASIVE ACTION TAKEN","PD NOTIFIED","PRELIM INFO"
2025-04-14,"CALIFORNIA","SAN DIEGO","PRELIM INFO FROM FAA OPS: SAN DIEGO, CA/UAS SIGHTING/1523P/MONTGOMERY ATCT ADVISED, CESSNA C172, REPORTED A WHITE UAS AT THE 3 O'CLOCK POSITION WHILE W BOUND AT 900 FEET 1 E MYF. NO EVASIVE ACTION TAKEN. SAN DIEGO PD AIR SUPPORT UNIT NOTIFIED.","1523P","900 FEET",NA,"1 E MYF","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-14,"CALIFORNIA","SAN DIEGO","PRELIM INFO FROM FAA OPS: SAN DIEGO, CA/UAS SIGHTING/1550P/MONTGOMERY ATCT ADVISED, PIPER P28A, REPORTED A SILVER UAS WHILE S BOUND AT 1,300 FEET 1 SW MYF. NO EVASIVE ACTION TAKEN. SAN DIEGO PD NOTIFIED.","1550P","300 FEET",NA,"1 SW MYF","NO EVASIVE ACTION TAKEN","PD NOTIFIED","PRELIM INFO"
2025-04-15,"ILLINOIS","CHICAGO","PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/0915C/CHICAGO TRACON ADVISED, CRJ7, LEX - ORD, REPORTED A SILVER UAS 200 FEET ABOVE ACFT WHILE NE BOUND AT 8,000 FEET 12 SW ORD. NO EVASIVE ACTION TAKEN. ARPT OPS NOTIFIED.","0915C","200 FEET","ORD","12 SW ORD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-15,"ILLINOIS","CHICAGO","CORRECTION INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/0915C/CHICAGO TRACON ADVISED, CRJ7, LIT - ORD, REPORTED A SILVER UAS 200 FEET ABOVE ACFT WHILE NE BOUND AT 8,000 FEET 12 SW ORD. NO EVASIVE ACTION TAKEN. ARPT OPS NOTIFIED.","0915C","200 FEET","ORD","12 SW ORD","NO EVASIVE ACTION TAKEN",NA,NA
2025-04-16,"FLORIDA","ORLANDO","PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/1000E/MIAMI ARTCC ADVISED, BOMBARDIER CL30, BED - SUA, REPORTED A POSSIBLE UAS FROM THE 3 O'CLOCK POSITION WHILE ESE BOUND AT 17,00 FEET 51 ESE ORL. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC SJ/JG","1000E","00 FEET","SUA","51 ESE ORL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-16,"NORTH CAROLINA","ASHEVILLE","PRELIM INFO FROM FAA OPS: ASHEVILLE, NC/UAS SIGHTING/1105E/ASHEVILLE ATCT ADVISED, E75L, AVL - ORD, REPORTED UAS FROM THE 11 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 1 NNW AVL. NO EVASIVE ACTION TAKEN. DPS NOTIFIED.","1105E","500 FEET","ORD","1 NNW AVL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-16,"TEXAS","FORT WORTH","PRELIM INFO FROM FAA OPS: FORT WORTH, TX/UAS INCIDENT/1120C/FT WORTH MEACHAM ATCT ADVISED, CESSNA C172, REPORTED UAS FROM THE 3 O'CLOCK POSITION WHILE ON FINAL RUNWAY 17 AT 4,000 FEET VCNTY FT WORTH MEACHAM ARPT. ATCT SPOTTED UAS OPERATOR ON A BERM AT THE NW CORNER OF THE FIELD VIA BINOCULARS. FTW DPS NOTIFIED.","1120C","000 FEET",NA,NA,NA,NA,"PRELIM INFO"
2025-04-16,"TEXAS","TYLER","PRELIM INFO FROM FAA OPS: TYLER, TX/UAS SIGHTING/1604C/LONGVIEW ATCT ADVISED, CESSNA C700, REPORTED A UAS WHILE S BOUND AT 4,600 FEET 12 NE TYR. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION REPORTED. WOC MC/JE","1604C","600 FEET",NA,"12 NE TYR","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-16,"CALIFORNIA","HAYWARD","PRELIM INFO FROM FAA OPS: HAYWARD, CA/UAS SIGHTING/1636P/PALO ALTO ATCT ADVISED, EUROCOPTER EC45, REPORTED A UAS WHILE S BOUND AT 1,300 FEET 5 E HWD. NO EVASIVE ACTION TAKEN. LEO INFORMATION NOT PROVIDED. WOC AJ/JE","1636P","300 FEET",NA,"5 E HWD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-17,"FLORIDA","ORLANDO","PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/1026E/EXECUTIVE ATCT ADVISED, CESSNA C172, ORL - ORL, REPORTED A WHITE UAS AT 200 FEET WHILE IN PATTERN AT 1,100 FEET 1 NE ORL. NO EVASIVE ACTION TAKEN. LOCAL LEO AVIATION NOTIFIED.","1026E","200 FEET","ORL","1 NE ORL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-17,"TEXAS","HOUSTON","PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS SIGHTING/1133C/HOUSTON ATCT ADVISED, E75L, COS - IAH, REPORTED UAS WHILE S BOUND AT 800 FEET 3 NNE IAH. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC PM/SJ","1133C","800 FEET","IAH","3 NNE IAH","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-17,"NEW YORK","NEW YORK","PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1527E/KENNEDY ATCT ADVISED, B763, GENEVA, SWITZERLAND (LSGG) - JFK, REPORTED UAS FROM THE 11 O'CLOCK POSITION WHILE S BOUND AT 3,000 FEET 10 NW JFK. NO EVASIVE ACTION TAKEN. PORT AUTHORITY NOTIFIED.","1527E","000 FEET","JFK","10 NW JFK","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-17,"NEW YORK","NEW YORK","PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1614E/KENNEDY ATCT ADVISED, A320, PHILIPSBURG, SINT MAARTEN (TNCM) - JFK, REPORTED A BLACK UAS 300 FEET BELOW ACFT WHILE AT 1,500 FEET ON 3 MILE FINAL RUNWAY 31R JFK. NO EVASIVE ACTION TAKEN. PORT AUTHORITY OPERATIONS NOTIFIED.","1614E","300 FEET","JFK",". NO","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-17,"WISCONSIN","MILWAUKEE","PRELIM INFO FROM FAA OPS: MILWAUKEE, WI/UAS SIGHTING/2232C/MILWAUKEE ATCT ADVISED, E75L, IAH - MKE, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE SW BOUND AT 1,900 FEET 4 SE MKE. NO EVASIVE ACTION TAKEN. MILWAUKEE COUNTY SHERIFF NOTIFIED.","2232C","900 FEET","MKE","4 SE MKE","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-18,"GEORGIA","SYLVESTER","PRELIM INFO FROM FAA OPS: SYLVESTER, GA/UAS SIGHTING/1315E/JACKSONVILLE ARTC ADVISED, CESSNA C172, REPORTED WHITE UAS FROM THE 3 O'CLOCK POSITION WHILE N BOUND AT 2,500 FEET 18 NW SYV. NO EVASIVE ACTION TAKEN. LEESBURG COUNTY SHERIFF NOTIFIED.","1315E","500 FEET",NA,"18 NW SYV","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-18,"NEW JERSEY","SOLBERG","PRELIM INFO FROM FAA OPS: SOLBERG, NJ/UAS SIGHTING/1527E/NEW YORK TRACON ADVISED, E75L, CVG - LGA, REPORTED UAS WHILE SE BOUND AT 10,000 FEET 5 W SOLBERG VOR/DME (SBJ). NO EVASIVE ACTION REPORTED. NEW YORK STATE PD NOTIFIED.","1527E","000 FEET","LGA","5 W SOLBERG",NA,"PD NOTIFIED","PRELIM INFO"
2025-04-18,"TEXAS","HILLSBORO","PRELIM INFO FROM FAA OPS: HILLSBORO, TX/UAS SIGHTING/1430C/FT WORTH ARTCC ADVISED, CESSNA C56X, DAL - GTU, REPORTED UAS WHILE SSW BOUND AT 13,500 FEET 5 SE INJ. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED. WOC PM/RC","1430C","500 FEET","GTU","5 SE INJ",NA,NA,"PRELIM INFO"
2025-04-18,"DISTRICT OF COLUMBIA","WASHINGTON","PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS SIGHTING/1550E/POTOMAC TRACON ADVISED, CRJ7, CHS - DCA, REPORTED A SILVER UAS FROM THE 3 O'CLOCK POSITION WHILE SSE BOUND AT 2,400 FEET 10 NNW DCA. NO EVASIVE ACTION TAKEN. MONTGOMERY COUNTY SHERIFF NOTIFIED.","1550E","400 FEET","DCA","10 NNW DCA","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-18,"FLORIDA","FORT LAUDERDALE","PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1612E/FORT LAUDERDALE ATCT ADVISED, CESSNA C182, REPORTED A UAS WHILE W BOUND AT 800 FEET 1 S FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF NOTIFIED.","1612E","800 FEET",NA,"1 S FLL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-18,"TEXAS","DALLAS","PRELIM INFO FROM FAA OPS: DALLAS, TX/UAS SIGHTING/2030C/DALLAS LOVE ATCT ADVISED, BELL B06, REPORTED UAS FROM THE 12 O'CLOCK POSITION WHILE E BOUND AT 1,200 FEET 5 SE DAL. NO EVASIVE ACTION TAKEN. DPS NOTIFIED.","2030C","200 FEET",NA,"5 SE DAL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-19,"NEW YORK","ELMIRA/CORNING","PRELIM INFO FROM FAA OPS: ELMIRA-CORNING, NY/UAS SIGHTING/0910E/ELMIRA ATCT ADVISED, B38M, SFB - ELM, REPORTED UAS OFF LEFT SIDE WHILE NE BOUND AT 3,300 FEET 14 E ELM. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC PM/MA","0910E","300 FEET","ELM","14 E ELM","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-19,"NEW JERSEY","STILLWATER","PRELIM INFO FROM FAA OPS: STILLWATER, NJ/UAS SIGHTING/1612E/ALLENTOWN APCH ADVISED, CESSNA C82T, REPORTED A WHITE UAS OFF LEFT SIDE WHILE ESE BOUND AT 3,500 FEET 8 N STILLWATER VOR/DME (STW). NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC PM/MA","1612E","500 FEET",NA,"8 N STILLWATER","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-19,"TENNESSEE","CHATTANOOGA","PRELIM INFO FROM FAA OPS: CHATTANOOGA, TN/UAS SIGHTING/1615E/CHATTANOOGA APCH ADVISED, SOCATA TBM9, REPORTED A GREY OR WHITE UAS WHILE W BOUND AT 3,000 FEET 20 SW CHA. NO EVASIVE ACTION TAKEN. CHATTANOOGA PD NOTIFIED.","1615E","000 FEET",NA,"20 SW CHA","NO EVASIVE ACTION TAKEN","PD NOTIFIED","PRELIM INFO"
2025-04-19,"INDIANA","GARY-CHICAGO","PRELIM INFO FROM FAA OPS: GARY-CHICAGO, IN/UAS SIGHTING/1810E/CHICAGO TRACON ADVISED, B737, MCO - MDW, REPORTED 3 UAS WHILE NW BOUND AT 4,300 FEET 9 ESE GYY. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.","1810E","300 FEET","MDW","9 ESE GYY","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-19,"CALIFORNIA","VAN NUYS","PRELIM INFO FROM FAA OPS: VAN NUYS, CA/UAS SIGHTING/1552P/VAN NUYS ATCT ADVISED, LEARJET LJ70, VNY - CRQ, REPORTED UAS AT 200 FEET OFF RIGHT SIDE DURING OUTBOUND TAXI AT VNY ARPT. NO EVASIVE ACTION TAKEN. PD16 NOTIFIED.","1552P","200 FEET","CRQ",". NO","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-19,"NEW YORK","NEW YORK","PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1928E/KENNEDY ATCT ADVISED, B763, LAS - JFK, REPORTED A WHITE AND GRAY UAS FROM THE 12 O'CLOCK POSITION WHILE SW BOUND AT 2,000 FEET 10 NE JFK. NO EVASIVE ACTION TAKEN. JOHN F KENNEDY INTL ARPT AUTHORITY NOTIFIED.","1928E","000 FEET","JFK","10 NE JFK","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-20,"ILLINOIS","CHICAGO","PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1335C/CHICAGO TRACON ADVISED, E75L, ORD - CLE, REPORTED A SILVER UAS WHILE E BOUND AT 1,000 FEET 3 E ORD. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC PM/MA","1335C","000 FEET","CLE","3 E ORD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-20,"TEXAS","EL PASO","PRELIM INFO FROM FAA OPS: EL PASO, TX/UAS SIGHTING/1350M/EL PASO ATCT ADVISED, B739, ELP - ATL, REPORTED A POSSIBLE UAS OR BALLOON AT 7,000 FEET 5 SE ELP. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. NO ADDITIONAL INFORMATION PROVIDED. WOC PM/MA","1350M","000 FEET","ATL","5 SE ELP","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-20,"ILLINOIS","CHICAGO","PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1720C/CHICAGO TRACON ADVISED, B38M, KEFLAVIK, ICELAND (BIKF) - ORD, REPORTED UAS FROM THE 12 O'CLOCK POSITION WHILE W BOUND AT 7,000 FEET 9 N ORD. NO EVASIVE ACTION TAKEN. CHICAGO FBI NOTIFIED.","1720C","000 FEET","ORD","9 N ORD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-20,"ILLINOIS","CHICAGO","PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1817C/CHICAGO TRACON ADVISED, B738, MONTEGO BAY, JAMAICA (MKJS) - ORD, REPORTED UAS FROM THE 12 O'CLOCK POSITION WHILE W BOUND AT 5,000 FEET 25 W ORD. NO EVASIVE ACTION TAKEN. CHICAGO FBI NOTIFIED.","1817C","000 FEET","ORD","25 W ORD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-21,"ALABAMA","BIRMINGHAM","PRELIM INFO FROM FAA OPS: BIRMINGHAM, AL/UAS SIGHTING/LATE REPORT-1400C/E-ROC ADVISED, HELO, REPORTED UAS AT 700 FEET OVER UAB HELIPAD 4 SW BHM. NO EVASIVE ACTION TAKEN. JEFFERSON COUNTY SHERIFF NOTIFIED.","1400C","700 FEET","HELO","4 SW BHM","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-21,"WASHINGTON","MOSES LAKE","PRELIM INFO FROM FAA OPS: MOSES LAKE, WA/UAS SIGHTING/1431P/MOSES LAKE ATCT ADVISED, CESSNA C150, REPORTED UAS AT 3,500 FEET WHILE SE BOUND 12 NW MWH. NO EVASIVE ACTION TAKEN. GRANT COUNTY SHERIFF NOTIFIED.","1431P","500 FEET",NA,"12 NW MWH","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-22,"TEXAS","HOUSTON","PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS SIGHTING/1743C/HOUSTON TRACON ADVISED, B739, SAN SALVADOR, EL SALVADOR (MSLP) - IAH, REPORTED A UAS WHILE N BOUND AT 5,000 FEET 11.5 WSW IAH. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.","1743C","000 FEET","IAH","11.5 WSW IAH","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-22,"UTAH","CEDAR CITY","PRELIM INFO FROM FAA OPS: CEDAR CITY, UT/UAS INCIDENT/1744M/SALT LAKE CITY ARTCC ADVISED, BOEING CH47, REPORTED UAS WHILE N BOUND AT 6,000 FEET OVER CDC. NO EVASIVE ACTION TAKEN. ARPT WAS NOTAM CLOSED FOR 30 MIN. IRON COUNTY SHERIFF NOTIFIED.","1744M","000 FEET",NA,". NO","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-23,"OREGON","PORTLAND","PRELIM INFO FROM FAA OPS: PORTLAND, OR/UAS SIGHTING/0944P/PORTLAND TRACON ADVISED, GULFSTREAM GA5C, REPORTED UAS AT THE 3 O'CLOCK POSITION WHILE NW BOUND AT 10,000 FEET 9 WNW PDX. NO EVASIVE ACTION TAKEN. FOLLOWING DEPARTURES WERE TURNED TO AVOID THE AREA. WOC DJ/DJ","0944P","000 FEET",NA,"9 WNW PDX","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-23,"NORTH CAROLINA","RALEIGH-DURHAM","PRELIM INFO FROM FAA OPS: RALEIGH-DURHAM, NC/UAS SIGHTING/1524E/RALEIGH-DURHAM ATCT ADVISED, PIPER P28A, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE NNW BOUND AT FL200 5 SW RDU. NO EVASIVE ACTION TAKEN. RALEIGH-DURHAM PD NOTIFIED.","1524E",NA,NA,"5 SW RDU","NO EVASIVE ACTION TAKEN","PD NOTIFIED","PRELIM INFO"
2025-04-23,"MAINE","BRUNSWICK","PRELIM INFO FROM FAA OPS: BRUNSWICK, ME/UAS SIGHTING/1551E/PORTLAND ATCT ADVISED, CESSNA C172, REPORTED A UAS 100 BELOW ACFT AT THE 9 O'CLOCK POSITION WHILE N BOUND AT 3,000 FEET 8 N BXM. NO EVASIVE ACTION TAKEN. ANDROSCOGGIN COUNTY SHERIFF NOTIFIED.","1551E","000 FEET",NA,"8 N BXM","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-23,"OREGON","PORTLAND","PRELIM INFO FROM FAA OPS: PORTLAND, OR/UAS SIGHTING/1340P/HILLSBORO ATCT ADVISED, CESSNA C172, REPORTED A UAS WHILE NW BOUND AT 2,500 FEET 6 SE HIO. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC JE/KC","1340P","500 FEET",NA,"6 SE HIO","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-23,"NORTH CAROLINA","CHARLOTTE","PRELIM INFO FROM FAA OPS: CHARLOTTE, NC/UAS SIGHTING/1854E/CHARLOTTE ATCT ADVISED, B738, LGA - CLT, OBSERVED A UAS AT THE 9 O'CLOCK POSITION WHILE N BOUND AT 3,000 FEET 6 S CLT. NO EVASIVE ACTION TAKEN. CMPD NOTIFIED.","1854E","000 FEET",NA,"6 S CLT","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
